,Unnamed: 0,distance_x,distance_y,angles,follower_vx,follower_vy,follower_omega,leader_vx,leader_vy,leader_omega,leader_x,leader_y,follower_x,follower_y
98,98,1.7316365324944263,-0.7275118697199191,-0.2773707598568139,0.3776409116523089,-0.25586795108925847,-0.030803561344450253,0.199999988079071,3.540210968822066e-08,-3.0080808954835454e-08,-40.891075134277344,45.0,-42.68899917602539,45.18382263183594
99,99,1.726632912470997,-0.7190493048888116,-0.27618600041757263,0.37505002204805216,-0.25517893401454284,-0.037023922176395836,0.199999988079071,3.772640511101599e-08,-6.505890270958047e-10,-40.884674072265625,45.0,-42.676048278808594,45.179080963134766
100,100,1.721903121036977,-0.7100544841583075,-0.27467547754428,0.3728251849195028,-0.2544943651646709,-0.047204049263508595,0.199999988079071,3.94351147292582e-08,2.8790196893169195e-08,-40.87827682495117,45.0,-42.6630859375,45.1743049621582
101,101,1.7173221786880706,-0.7008217041041406,-0.2730164131520499,0.37088005494302495,-0.2539355258128347,-0.05184593960712385,0.199999988079071,4.0500335529713993e-08,5.77612659924398e-08,-40.87187576293945,45.0,-42.65011978149414,45.16947937011719
102,102,1.7129626524505808,-0.6911297617267923,-0.27107794293746135,0.36909539775156364,-0.25337471365761477,-0.06057735382083086,0.199999988079071,4.0904726716917146e-08,8.578973620387843e-08,-40.86547470092773,45.0,-42.63718795776367,45.16460800170898
103,103,1.708881150370043,-0.6807750443736932,-0.2687393922416995,0.3676299656281178,-0.25278360962717283,-0.07307992963698233,0.199999988079071,4.064164471628828e-08,1.1241841235687389e-07,-40.859073638916016,45.0,-42.624244689941406,45.15969467163086
104,104,1.7050673103498233,-0.6698909562933644,-0.26600062240439326,0.366216010288832,-0.24791585939987199,-0.08558654268419794,0.199999988079071,3.971538831137877e-08,1.372127655940858e-07,-40.85267639160156,45.0,-42.6116943359375,45.15602493286133
105,105,1.7016223492771516,-0.6585514332748831,-0.26290223946521585,0.3606336770383454,-0.24285472665307248,-0.09682444763037013,0.199999988079071,3.8141113378742375e-08,1.597682199871997e-07,-40.84627532958984,45.0,-42.60055541992188,45.15217971801758
106,106,1.6986602386131997,-0.6467974232939524,-0.2594800557227424,0.3506211600835267,-0.23832240015933503,-0.1069432827697913,0.199999988079071,3.5944470511140025e-08,1.7971662202853625e-07,-40.839874267578125,45.0,-42.59099197387695,45.14789581298828
107,107,1.696283886459033,-0.6346641105986515,-0.25576634992940644,0.33661159534470525,-0.23428196290734044,-0.11605344112515928,0.199999988079071,3.3161303036877143e-08,1.9673264262110027e-07,-40.83347702026367,45.0,-42.58301544189453,45.1431884765625
108,108,1.6944253471135142,-0.622246115438063,-0.2518277522008129,0.3234353154231574,-0.23066865127923458,-0.12308134194434119,0.199999988079071,2.9837060822046624e-08,2.105385021877737e-07,-40.82707595825195,45.0,-42.57524871826172,45.13838577270508
